order_id,event_seq,event_type,event_timestamp,date_key,warehouse_key,carrier_key,product_key,customer_key,quantity,exception_reason,promised_delivery_date,is_late_flag,source_system
ORD-0000001,1,ORDER_PLACED,2024-05-26 09:44:34.090540,20240526,2,,75,297,2,,2024-05-30,,WMS
ORD-0000001,2,PICKED,2024-05-26 11:42:47.205902,20240526,2,,75,297,1,,2024-05-30,,WMS
ORD-0000001,3,PACKED,2024-05-26 17:04:59.879666,20240526,2,,75,297,1,,2024-05-30,,WMS
ORD-0000001,4,SHIPPED,2024-05-27 04:00:41.950784,20240527,2,3,75,297,1,,2024-05-30,,WMS
ORD-0000001,5,IN_TRANSIT,2024-05-27 21:19:09.501276,20240527,2,3,75,297,1,,2024-05-30,,WMS
ORD-0000001,6,OUT_FOR_DELIVERY,2024-05-27 21:34:30.586408,20240527,2,3,75,297,1,,2024-05-30,,WMS
ORD-0000001,7,DELIVERED,2024-05-28 00:58:13.745014,20240528,2,3,75,297,1,,2024-05-30,0,WMS
ORD-0000002,1,ORDER_PLACED,2024-06-04 13:07:59.937332,20240604,6,,53,531,1,,2024-06-08,,WMS
ORD-0000002,2,PICKED,2024-06-04 19:07:39.123242,20240604,6,,53,531,1,,2024-06-08,,WMS
ORD-0000002,3,PACKED,2024-06-04 19:52:25.632381,20240604,6,,53,531,2,,2024-06-08,,WMS
ORD-0000002,4,SHIPPED,2024-06-05 17:56:11.441163,20240605,6,3,53,531,1,,2024-06-08,,WMS
ORD-0000002,5,IN_TRANSIT,2024-06-06 05:19:38.916781,20240606,6,3,53,531,2,,2024-06-08,,WMS
ORD-0000002,6,OUT_FOR_DELIVERY,2024-06-06 06:17:15.775461,20240606,6,3,53,531,1,,2024-06-08,,WMS
ORD-0000002,7,DELIVERED,2024-06-06 07:36:46.540370,20240606,6,3,53,531,2,,2024-06-08,0,WMS
ORD-0000003,1,ORDER_PLACED,2024-03-29 14:54:11.468711,20240329,4,,60,555,1,,2024-04-02,,WMS
ORD-0000003,2,PICKED,2024-03-29 21:19:52.995683,20240329,4,,60,555,1,,2024-04-02,,WMS
ORD-0000003,3,PACKED,2024-03-29 22:01:58.547550,20240329,4,,60,555,1,,2024-04-02,,WMS
ORD-0000003,4,SHIPPED,2024-03-30 06:32:58.515128,20240330,4,1,60,555,1,,2024-04-02,,WMS
ORD-0000003,5,IN_TRANSIT,2024-03-31 04:28:27.809980,20240331,4,1,60,555,1,,2024-04-02,,WMS
ORD-0000003,6,EXCEPTION,2024-03-31 05:37:18.491254,20240331,4,1,60,555,1,CAPACITY_OVERFLOW,2024-04-02,,WMS
ORD-0000003,7,OUT_FOR_DELIVERY,2024-03-31 23:45:09.206374,20240331,4,1,60,555,1,,2024-04-02,,WMS
ORD-0000003,8,DELIVERED,2024-04-01 01:53:26.867711,20240401,4,1,60,555,1,,2024-04-02,0,WMS
ORD-0000004,1,ORDER_PLACED,2024-02-26 14:03:34.882274,20240226,2,,137,58,1,,2024-03-01,,WMS
ORD-0000004,2,PICKED,2024-02-27 00:58:22.552230,20240227,2,,137,58,1,,2024-03-01,,WMS
ORD-0000004,3,PACKED,2024-02-27 03:01:20.864339,20240227,2,,137,58,1,,2024-03-01,,WMS
ORD-0000004,4,SHIPPED,2024-02-27 14:40:22.278584,20240227,2,3,137,58,2,,2024-03-01,,WMS
ORD-0000004,5,IN_TRANSIT,2024-02-28 00:36:06.299779,20240228,2,3,137,58,1,,2024-03-01,,WMS
ORD-0000004,6,OUT_FOR_DELIVERY,2024-02-28 03:24:30.464545,20240228,2,3,137,58,1,,2024-03-01,,WMS
